st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
1.0,1.2474783920361792,2.3915698581506653,35.18131044851482,28.47068781452142,8.243481106399338,2.1226811751524526,0
1.0,2.806410285032256,2.4120484574293792,41.85483949444799,27.56431537474727,8.28593122497008,1.1653608155529924,0
1.0,0.14964540564746187,2.3555280160843575,36.66343362509128,21.61283001939349,7.574033170168231,1.8360021298193845,1
1.0,0.878587887179204,2.2967120678411335,39.62727993033888,21.76078516825188,7.743700041192055,0.7347911666395209,1
1.0,1.2969636539598373,2.1997882493329706,41.34358206829246,21.544727558757398,6.907014888362571,0.6545530115191955,1
1.0,0.7839562170902824,2.091088804397855,39.84907277960299,21.344102635655382,6.462637265201833,0.6196879686504493,1
1.0,2.205564893805744,2.009118364717359,45.755240346676075,20.535281680025083,5.96018275064987,0.5637317748485883,0
1.0,0.2297698520476706,1.769445557436638,41.921831212325856,16.501573078154063,5.281482401450632,1.9595909915344163,0
1.0,0.7790733808875445,1.6914291216606585,44.57017262219854,16.585803182190656,4.887749998448961,0.676040922897197,0
1.0,2.189058297374176,1.667837495766609,50.88518059421999,17.332085187077485,4.861283380399362,0.6114765940401797,0
